,State,"Male sufficient physical activity prevalence, 2001 (%)","Female sufficient physical activity prevalence, 2001 (%)","Male sufficient physical activity  prevalence, 2009 (%)","Female sufficient physical activity  prevalence, 2009 (%)","Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Difference in male sufficient physical activity prevalence, 2001-2009 (percentage points)","Difference in female sufficient physical activity prevalence, 2001-2009 (percentage points)"
0,Alabama,52.4,40.4,51.5,41.4,49.5,42.0,-0.9,1.0
3,Arkansas,52.4,41.4,53.6,44.3,51.3,45.2,1.2,2.9
8,Florida,55.6,45.8,56.7,51.4,56.0,52.8,1.1,5.6
9,Georgia,53.9,41.5,56.4,49.7,54.6,50.8,2.5,8.2
16,Kentucky,44.5,33.6,51.3,44.0,49.9,45.8,6.8,10.4
17,Louisiana,47.7,36.4,51.9,42.0,49.8,42.8,4.3,5.6
23,Mississippi,48.4,35.7,49.6,38.8,47.2,39.7,1.2,3.1
32,North Carolina,54.4,42.0,56.1,47.3,54.3,48.2,1.7,5.3
39,South Carolina,58.0,43.3,57.1,48.0,55.1,49.1,-0.9,4.7
41,Tennessee,48.8,36.3,48.8,39.2,46.7,39.9,0.0,3.0
45,Virginia,59.7,47.0,58.0,52.6,56.4,53.6,-1.7,5.6
47,West Virginia,52.1,42.2,50.3,41.8,47.8,42.4,-1.9,-0.4
