,State,County,Location,"Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)","Male life expectancy, 2010 (years)","Female life expectancy, 2010 (years)","Difference in male life expectancy, 1985-2010 (years)","Difference in female life expectancy, 1985-2010 (years)"
1,Alabama,,,69.1,76.9,69.4,77.1,69.9,77.2,71,77.2,71.5,77.3,72.4,77.8,3.3,0.9
2,Alabama,Autauga,"Autauga, Alabama",68.1,77,68.5,77,69.3,77.3,71.7,77.6,72.5,77.4,73.3,78.8,5.2,1.8
3,Alabama,Baldwin,"Baldwin, Alabama",71.1,78.8,71.9,79.2,72.4,79.3,73.9,79.2,73.8,79.7,75,80.3,3.8,1.5
4,Alabama,Barbour,"Barbour, Alabama",66.8,76,66.7,76.7,68.4,76.9,70,76.2,70.5,77,72.2,77.2,5.3,1.1
5,Alabama,Bibb,"Bibb, Alabama",67.3,76.6,68.4,76.2,69,75.9,70.3,76.5,70.5,76.8,71.5,76.8,4.2,0.2
6,Alabama,Blount,"Blount, Alabama",70.6,78.9,70.7,79.2,71.4,78.8,72.5,78.4,72,78.1,73.1,78.6,2.5,-0.3
7,Alabama,Bullock,"Bullock, Alabama",66.6,75.1,65,74.7,65.3,74.3,67.8,74.6,67.8,75.1,67.2,76.4,0.6,1.3
8,Alabama,Butler,"Butler, Alabama",68.2,77,67.6,77,66.7,75.6,68.4,75.9,68.1,76.7,69.4,78.1,1.2,1
9,Alabama,Calhoun,"Calhoun, Alabama",69,77.3,68.4,76.5,69.4,76,69.4,76.3,69.8,76.3,70.8,75.8,1.8,-1.5
10,Alabama,Chambers,"Chambers, Alabama",68.4,76.7,68,76,68.2,76.2,69.7,76.4,70.4,76.6,70.1,76.4,1.7,-0.3
11,Alabama,Cherokee,"Cherokee, Alabama",68.5,77.8,68.6,77.3,69.9,77.4,71.7,77.8,71.5,77.8,72.2,77.1,3.8,-0.7
12,Alabama,Chilton,"Chilton, Alabama",68.6,76.9,69.4,77.3,69.5,77.7,70.5,77,70.5,76.9,70.8,76.9,2.2,0
13,Alabama,Choctaw,"Choctaw, Alabama",67.3,76.9,67.5,76.7,67.9,76.7,69.5,76.7,70.6,76.9,71.5,78.6,4.2,1.7
14,Alabama,Clarke,"Clarke, Alabama",68.2,76.8,68,76.6,68.4,76.8,70.2,77.1,71.4,77.3,72.3,77.4,4.1,0.6
15,Alabama,Clay,"Clay, Alabama",68.9,77.6,68.5,77.7,70.2,78,71,77.4,71.4,77.1,71.7,76.6,2.8,-1
16,Alabama,Cleburne,"Cleburne, Alabama",68.9,77.6,68.5,77.7,70.2,78,71,77.4,71.4,77.1,71.7,76.6,2.8,-1
17,Alabama,Coffee,"Coffee, Alabama",70.7,77.5,71.1,78.3,71.6,78.5,72.6,78.3,73.3,78.2,74.1,78.4,3.3,0.8
18,Alabama,Colbert,"Colbert, Alabama",69.5,77.4,69.4,77.8,69.8,78,71.2,78,70.7,78.3,70.4,77.8,0.8,0.4
19,Alabama,Conecuh,"Conecuh, Alabama",68.2,77,67.6,77,66.7,75.6,68.4,75.9,68.1,76.7,69.4,78.1,1.2,1
20,Alabama,Coosa,"Coosa, Alabama",68.6,76.9,69.4,77.3,69.5,77.7,70.5,77,70.5,76.9,70.8,76.9,2.2,0
