,State,"Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)","Male life expectancy, 2010 (years)","Female life expectancy, 2010 (years)","Difference in male life expectancy, 1985-2010 (years)","Difference in female life expectancy, 1985-2010 (years)"
1,Alaska,70.9,77.7,72.0,78.8,72.9,78.7,74.2,78.9,75.1,79.7,75.8,80.1,4.9,2.3
4,California,71.7,78.3,72.3,78.8,73.5,79.6,75.7,80.3,76.5,81.2,78.2,82.5,6.5,4.2
5,Colorado,72.9,79.0,73.6,79.6,74.4,79.9,76.0,80.2,76.5,80.9,77.6,81.7,4.7,2.7
10,Hawaii,74.6,80.5,75.2,81.1,75.6,81.6,76.9,82.0,77.3,82.8,77.8,83.5,3.2,3.1
11,Idaho,72.8,79.1,73.4,79.5,74.5,79.8,75.5,80.0,76.0,80.3,77.0,80.9,4.2,1.8
25,Montana,72.3,79.0,72.8,79.2,73.6,79.5,74.7,79.6,75.4,80.0,76.2,80.5,4.0,1.6
27,Nevada,70.4,77.1,70.9,77.5,71.7,78.0,73.4,78.4,73.9,78.9,75.6,80.2,5.2,3.1
36,Oregon,72.0,78.7,72.9,79.1,73.8,79.3,75.2,79.7,75.9,80.2,77.0,81.2,5.0,2.5
43,Utah,73.6,79.4,74.7,80.1,75.4,80.4,76.3,80.3,76.9,80.8,77.8,81.6,4.2,2.2
46,Washington,72.5,78.8,73.5,79.4,74.4,79.8,75.7,80.1,76.5,80.7,77.6,81.6,5.1,2.8
49,Wyoming,72.0,78.6,72.7,78.8,73.5,79.2,74.7,79.2,75.2,79.6,75.8,80.2,3.9,1.6
