,State,"Male sufficient physical activity prevalence, 2001 (%)","Female sufficient physical activity prevalence, 2001 (%)","Male sufficient physical activity  prevalence, 2009 (%)","Female sufficient physical activity  prevalence, 2009 (%)","Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Difference in male sufficient physical activity prevalence, 2001-2009 (percentage points)","Difference in female sufficient physical activity prevalence, 2001-2009 (percentage points)"
0,Alabama,52.4,40.4,51.5,41.4,49.5,42.0,-0.9,1.0
1,Alaska,63.9,53.5,61.9,56.7,59.8,57.6,-2.0,3.3
2,Arizona,61.3,51.8,60.9,55.2,59.5,56.9,-0.3,3.4
3,Arkansas,52.4,41.4,53.6,44.3,51.3,45.2,1.2,2.9
4,California,59.4,50.7,61.4,57.0,61.3,59.2,2.0,6.2
5,Colorado,64.8,56.8,65.7,61.4,64.7,62.7,0.9,4.6
6,Connecticut,58.8,50.0,59.4,53.8,57.5,54.4,0.7,3.7
7,Delaware,54.8,42.6,57.2,49.1,54.0,49.2,2.4,6.5
8,Florida,55.6,45.8,56.7,51.4,56.0,52.8,1.1,5.6
9,Georgia,53.9,41.5,56.4,49.7,54.6,50.8,2.5,8.2
10,Hawaii,68.9,55.2,68.9,59.8,66.0,60.9,0.1,4.5
11,Idaho,62.5,54.9,62.1,57.5,60.5,58.7,-0.4,2.6
12,Illinois,54.0,43.4,56.7,52.7,54.8,54.2,2.7,9.3
13,Indiana,56.1,45.2,54.6,46.6,52.5,47.6,-1.5,1.5
14,Iowa,56.0,46.6,56.4,51.7,54.1,52.9,0.4,5.2
15,Kansas,54.8,46.2,56.6,50.1,53.5,50.5,1.8,3.9
16,Kentucky,44.5,33.6,51.3,44.0,49.9,45.8,6.8,10.4
17,Louisiana,47.7,36.4,51.9,42.0,49.8,42.8,4.3,5.6
18,Maine,60.4,53.3,62.4,58.1,60.7,59.0,2.1,4.8
19,Maryland,59.1,47.6,57.2,51.2,55.4,51.7,-1.9,3.6
20,Massachusetts,60.9,50.9,59.9,54.3,59.6,55.7,-1.0,3.4
21,Michigan,57.7,48.6,59.2,52.8,57.8,53.8,1.5,4.1
22,Minnesota,61.5,53.9,61.1,55.6,59.8,56.8,-0.4,1.7
23,Mississippi,48.4,35.7,49.6,38.8,47.2,39.7,1.2,3.1
24,Missouri,55.7,45.6,55.5,49.3,53.6,50.3,-0.1,3.7
25,Montana,62.1,54.9,62.4,57.9,60.4,58.5,0.4,3.0
26,Nebraska,55.1,45.0,57.0,52.1,53.7,52.7,1.9,7.1
27,Nevada,60.0,49.8,57.6,50.6,56.3,51.6,-2.4,0.8
28,New Hampshire,64.4,54.9,62.8,57.5,61.0,57.9,-1.6,2.7
29,New Jersey,54.9,44.2,57.1,50.0,56.2,51.9,2.3,5.8
30,New Mexico,60.2,50.5,60.4,53.6,57.8,54.5,0.2,3.1
31,New York,53.3,44.3,56.3,49.4,55.3,50.8,3.0,5.1
32,North Carolina,54.4,42.0,56.1,47.3,54.3,48.2,1.7,5.3
33,North Dakota,56.1,49.4,56.8,52.4,53.7,52.8,0.7,3.0
34,Ohio,56.8,45.6,57.1,49.6,55.4,50.9,0.4,4.1
35,Oklahoma,50.7,41.1,53.0,46.0,50.6,46.7,2.3,4.8
36,Oregon,65.2,56.6,64.0,60.9,63.2,62.4,-1.2,4.2
37,Pennsylvania,57.1,48.0,57.8,50.4,55.8,51.2,0.7,2.4
38,Rhode Island,58.2,48.2,56.4,50.2,54.7,50.5,-1.8,1.9
39,South Carolina,58.0,43.3,57.1,48.0,55.1,49.1,-0.9,4.7
40,South Dakota,54.2,49.0,54.9,51.1,52.3,52.0,0.8,2.1
41,Tennessee,48.8,36.3,48.8,39.2,46.7,39.9,0.0,3.0
42,Texas,55.2,44.1,56.4,48.4,54.1,49.5,1.3,4.3
43,Utah,64.1,56.4,63.5,57.4,60.2,57.6,-0.6,0.9
44,Vermont,65.3,58.2,65.1,61.8,63.7,62.8,-0.2,3.6
45,Virginia,59.7,47.0,58.0,52.6,56.4,53.6,-1.7,5.6
46,Washington,65.9,58.0,63.2,59.0,61.2,60.0,-2.6,0.9
47,West Virginia,52.1,42.2,50.3,41.8,47.8,42.4,-1.9,-0.4
48,Wisconsin,62.1,53.4,60.7,56.5,59.5,57.7,-1.3,3.1
49,Wyoming,62.2,55.2,60.3,57.6,57.3,58.2,-1.9,2.3
