,State,"Male sufficient physical activity prevalence, 2001 (%)","Female sufficient physical activity prevalence, 2001 (%)","Male sufficient physical activity  prevalence, 2009 (%)","Female sufficient physical activity  prevalence, 2009 (%)","Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Difference in male sufficient physical activity prevalence, 2001-2009 (percentage points)","Difference in female sufficient physical activity prevalence, 2001-2009 (percentage points)"
12,Illinois,54.0,43.4,56.7,52.7,54.8,54.2,2.7,9.3
13,Indiana,56.1,45.2,54.6,46.6,52.5,47.6,-1.5,1.5
14,Iowa,56.0,46.6,56.4,51.7,54.1,52.9,0.4,5.2
15,Kansas,54.8,46.2,56.6,50.1,53.5,50.5,1.8,3.9
21,Michigan,57.7,48.6,59.2,52.8,57.8,53.8,1.5,4.1
22,Minnesota,61.5,53.9,61.1,55.6,59.8,56.8,-0.4,1.7
24,Missouri,55.7,45.6,55.5,49.3,53.6,50.3,-0.1,3.7
26,Nebraska,55.1,45.0,57.0,52.1,53.7,52.7,1.9,7.1
33,North Dakota,56.1,49.4,56.8,52.4,53.7,52.8,0.7,3.0
34,Ohio,56.8,45.6,57.1,49.6,55.4,50.9,0.4,4.1
40,South Dakota,54.2,49.0,54.9,51.1,52.3,52.0,0.8,2.1
48,Wisconsin,62.1,53.4,60.7,56.5,59.5,57.7,-1.3,3.1
