,State,"Male obesity prevalence, 2001 (%)","Female obesity prevalence, 2001 (%)","Male obesity prevalence, 2009 (%)","Female obesity  prevalence, 2009 (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)","Difference in male obesity prevalence, 2001-2009 (percentage points)","Difference in female obesity prevalence, 2001-2009 (percentage points)"
12,Illinois,25.7,29.0,32.9,35.3,33.9,36.3,7.2,6.3
13,Indiana,28.2,30.6,35.1,38.5,36.3,39.5,6.9,8.0
14,Iowa,27.3,28.6,35.2,34.9,36.3,35.9,7.9,6.3
15,Kansas,26.6,28.2,34.7,36.4,35.8,37.3,8.1,8.2
21,Michigan,28.0,31.6,35.6,38.4,36.6,39.5,7.6,6.9
22,Minnesota,26.1,27.1,32.4,32.5,33.4,33.3,6.2,5.4
24,Missouri,28.1,30.0,35.6,38.0,36.6,38.9,7.4,8.0
26,Nebraska,27.3,28.0,34.9,35.6,36.1,36.5,7.7,7.6
33,North Dakota,29.1,28.2,35.3,34.8,36.5,35.6,6.2,6.6
34,Ohio,27.5,29.7,35.6,37.6,36.7,38.5,8.0,8.0
40,South Dakota,28.1,28.3,34.9,34.8,36.0,35.6,6.8,6.5
48,Wisconsin,26.9,28.0,34.1,35.2,35.2,36.0,7.3,7.2
