,State,"Male obesity prevalence, 2001 (%)","Female obesity prevalence, 2001 (%)","Male obesity prevalence, 2009 (%)","Female obesity  prevalence, 2009 (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)","Difference in male obesity prevalence, 2001-2009 (percentage points)","Difference in female obesity prevalence, 2001-2009 (percentage points)"
6,Connecticut,23.7,24.2,29.7,31.4,30.7,32.4,6.0,7.2
7,Delaware,27.0,29.1,35.9,37.1,36.9,37.8,8.9,8.1
18,Maine,24.4,26.5,31.7,33.8,32.8,34.9,7.2,7.4
19,Maryland,25.4,28.6,32.8,36.1,33.9,36.9,7.4,7.5
20,Massachusetts,22.9,23.8,30.0,30.3,31.0,31.1,7.1,6.5
28,New Hampshire,24.3,24.6,32.3,32.0,33.5,32.7,8.1,7.4
29,New Jersey,24.9,26.3,31.6,31.5,32.6,32.2,6.6,5.2
31,New York,23.9,26.9,30.2,32.9,31.2,33.8,6.3,5.9
37,Pennsylvania,27.0,29.7,34.2,36.7,35.3,37.6,7.2,7.0
38,Rhode Island,23.5,25.4,31.8,32.4,32.9,33.6,8.2,7.0
44,Vermont,21.8,24.0,28.4,29.8,29.6,30.6,6.7,5.8
