,State,"Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)","Male life expectancy, 2010 (years)","Female life expectancy, 2010 (years)","Difference in male life expectancy, 1985-2010 (years)","Difference in female life expectancy, 1985-2010 (years)"
0,Alabama,69.1,76.9,69.4,77.1,69.9,77.2,71.0,77.2,71.5,77.3,72.4,77.8,3.3,0.9
3,Arkansas,69.8,77.5,70.2,77.6,70.6,77.8,71.8,77.8,72.2,78.0,73.0,78.5,3.2,1.0
8,Florida,71.2,78.5,71.7,79.1,72.7,79.6,74.4,80.0,75.1,80.6,76.3,81.6,5.2,3.1
9,Georgia,68.7,76.4,69.3,76.9,70.4,77.3,72.1,77.6,73.0,78.2,74.4,79.2,5.7,2.8
16,Kentucky,69.5,77.1,70.2,77.4,70.9,77.6,72.0,77.8,72.4,77.9,73.2,78.2,3.6,1.1
17,Louisiana,68.8,76.1,68.9,76.5,69.5,76.7,70.8,76.9,70.9,77.0,72.5,78.2,3.7,2.1
23,Mississippi,68.4,76.5,68.6,76.5,68.7,76.4,70.0,76.4,70.5,76.8,71.5,77.4,3.1,0.8
32,North Carolina,69.5,77.2,70.2,77.7,71.1,78.1,72.7,78.3,73.6,78.9,74.8,79.8,5.3,2.6
39,South Carolina,68.6,76.3,69.3,76.8,70.2,77.2,71.5,77.6,72.3,78.2,73.7,79.2,5.0,2.9
41,Tennessee,69.5,77.3,70.0,77.6,70.5,77.6,71.7,77.7,72.2,77.9,73.4,78.7,3.8,1.4
45,Virginia,70.3,77.1,71.4,78.0,72.3,78.3,73.9,78.8,75.0,79.6,76.3,80.7,6.0,3.5
47,West Virginia,69.8,77.1,70.2,77.4,71.1,77.4,72.0,77.6,72.3,77.6,72.6,78.1,2.7,1.0
