,State,"Male obesity prevalence, 2001 (%)","Female obesity prevalence, 2001 (%)","Male obesity prevalence, 2009 (%)","Female obesity  prevalence, 2009 (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)","Difference in male obesity prevalence, 2001-2009 (percentage points)","Difference in female obesity prevalence, 2001-2009 (percentage points)"
0,Alabama,29.7,34.1,36.1,41.2,37.3,42.2,6.4,7.1
3,Arkansas,28.8,32.0,36.1,38.4,37.2,39.3,7.3,6.4
8,Florida,25.6,27.3,33.2,33.0,34.3,34.0,7.7,5.7
9,Georgia,27.4,31.7,33.6,37.1,34.6,38.1,6.2,5.4
16,Kentucky,28.9,31.1,36.3,38.4,37.5,39.3,7.4,7.3
17,Louisiana,29.5,33.8,38.2,40.5,39.4,41.7,8.7,6.7
23,Mississippi,30.3,36.4,37.9,43.5,39.1,44.5,7.5,7.0
32,North Carolina,27.1,31.4,33.8,37.7,34.9,38.6,6.7,6.3
39,South Carolina,28.4,31.6,34.2,39.6,35.4,40.7,5.8,8.0
41,Tennessee,28.9,31.4,35.0,38.9,36.1,39.9,6.1,7.5
45,Virginia,26.3,28.9,32.7,35.4,33.7,36.2,6.4,6.5
47,West Virginia,30.1,32.1,37.0,39.8,38.2,40.8,6.8,7.7
