,State,"Male obesity prevalence, 2001 (%)","Female obesity prevalence, 2001 (%)","Male obesity prevalence, 2009 (%)","Female obesity  prevalence, 2009 (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)","Difference in male obesity prevalence, 2001-2009 (percentage points)","Difference in female obesity prevalence, 2001-2009 (percentage points)"
1,Alaska,26.7,31.8,32.8,36.7,33.8,37.6,6.1,4.9
4,California,24.1,27.4,28.7,32.0,29.4,32.9,4.6,4.6
5,Colorado,20.3,21.4,25.8,26.9,26.8,27.7,5.5,5.5
10,Hawaii,21.5,19.4,27.4,25.4,28.4,26.1,5.9,6.0
11,Idaho,26.4,27.1,32.8,34.0,33.9,35.0,6.4,6.9
25,Montana,24.0,24.8,30.2,31.2,31.3,32.0,6.2,6.4
27,Nevada,26.4,25.7,32.3,31.1,33.0,32.1,6.0,5.3
36,Oregon,24.6,27.6,31.9,33.4,32.9,34.5,7.2,5.9
43,Utah,24.9,25.7,31.7,31.6,32.6,32.6,6.8,5.9
46,Washington,25.2,27.4,32.5,34.0,33.6,34.8,7.3,6.6
49,Wyoming,24.5,25.2,31.7,32.2,32.8,33.0,7.2,7.0
