,State,County,"Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)","Male life expectancy, 2010 (years)","Female life expectancy, 2010 (years)","Difference in male life expectancy, 1985-2010 (years)","Difference in female life expectancy, 1985-2010 (years)"
1,Alabama,,69.1,76.9,69.4,77.1,69.9,77.2,71.0,77.2,71.5,77.3,72.4,77.8,3.3,0.9
2,Alabama,Autauga,68.1,77.0,68.5,77.0,69.3,77.3,71.7,77.6,72.5,77.4,73.3,78.8,5.2,1.8
3,Alabama,Baldwin,71.1,78.8,71.9,79.2,72.4,79.3,73.9,79.2,73.8,79.7,75.0,80.3,3.8,1.5
4,Alabama,Barbour,66.8,76.0,66.7,76.7,68.4,76.9,70.0,76.2,70.5,77.0,72.2,77.2,5.3,1.1
5,Alabama,Bibb,67.3,76.6,68.4,76.2,69.0,75.9,70.3,76.5,70.5,76.8,71.5,76.8,4.2,0.2
6,Alabama,Blount,70.6,78.9,70.7,79.2,71.4,78.8,72.5,78.4,72.0,78.1,73.1,78.6,2.5,-0.3
7,Alabama,Bullock,66.6,75.1,65.0,74.7,65.3,74.3,67.8,74.6,67.8,75.1,67.2,76.4,0.6,1.3
8,Alabama,Butler,68.2,77.0,67.6,77.0,66.7,75.6,68.4,75.9,68.1,76.7,69.4,78.1,1.2,1.0
9,Alabama,Calhoun,69.0,77.3,68.4,76.5,69.4,76.0,69.4,76.3,69.8,76.3,70.8,75.8,1.8,-1.5
10,Alabama,Chambers,68.4,76.7,68.0,76.0,68.2,76.2,69.7,76.4,70.4,76.6,70.1,76.4,1.7,-0.3
11,Alabama,Cherokee,68.5,77.8,68.6,77.3,69.9,77.4,71.7,77.8,71.5,77.8,72.2,77.1,3.8,-0.7
12,Alabama,Chilton,68.6,76.9,69.4,77.3,69.5,77.7,70.5,77.0,70.5,76.9,70.8,76.9,2.2,0.0
13,Alabama,Choctaw,67.3,76.9,67.5,76.7,67.9,76.7,69.5,76.7,70.6,76.9,71.5,78.6,4.2,1.7
14,Alabama,Clarke,68.2,76.8,68.0,76.6,68.4,76.8,70.2,77.1,71.4,77.3,72.3,77.4,4.1,0.6
15,Alabama,Clay,68.9,77.6,68.5,77.7,70.2,78.0,71.0,77.4,71.4,77.1,71.7,76.6,2.8,-1.0
16,Alabama,Cleburne,68.9,77.6,68.5,77.7,70.2,78.0,71.0,77.4,71.4,77.1,71.7,76.6,2.8,-1.0
17,Alabama,Coffee,70.7,77.5,71.1,78.3,71.6,78.5,72.6,78.3,73.3,78.2,74.1,78.4,3.3,0.8
18,Alabama,Colbert,69.5,77.4,69.4,77.8,69.8,78.0,71.2,78.0,70.7,78.3,70.4,77.8,0.8,0.4
19,Alabama,Conecuh,68.2,77.0,67.6,77.0,66.7,75.6,68.4,75.9,68.1,76.7,69.4,78.1,1.2,1.0
20,Alabama,Coosa,68.6,76.9,69.4,77.3,69.5,77.7,70.5,77.0,70.5,76.9,70.8,76.9,2.2,0.0
21,Alabama,Covington,68.8,77.6,68.3,78.0,70.2,78.5,70.3,77.8,70.8,77.5,72.2,77.5,3.4,-0.1
22,Alabama,Crenshaw,67.2,76.4,67.1,76.7,66.7,76.0,69.4,75.8,69.5,76.4,70.2,76.4,3.0,0.0
23,Alabama,Cullman,70.1,79.0,70.9,78.4,71.1,78.4,72.0,78.2,71.7,77.4,72.3,77.7,2.2,-1.3
24,Alabama,Dale,70.1,77.9,70.7,77.9,71.6,77.9,71.8,77.5,72.5,78.5,73.4,78.0,3.4,0.1
25,Alabama,Dallas,66.5,75.8,66.5,75.1,67.0,74.9,67.6,74.8,67.8,73.9,68.6,75.4,2.1,-0.4
26,Alabama,DeKalb,68.1,77.9,69.7,78.1,70.9,77.6,71.6,78.0,72.0,77.1,72.1,77.3,4.1,-0.5
27,Alabama,Elmore,69.3,77.5,69.5,76.8,70.7,76.4,72.6,76.8,73.0,77.9,72.9,78.4,3.6,0.9
28,Alabama,Escambia,67.8,76.6,68.0,76.3,68.6,76.5,69.8,76.6,70.5,76.7,71.0,77.7,3.2,1.1
29,Alabama,Etowah,69.0,76.8,68.6,76.9,69.2,76.3,70.2,76.7,70.0,76.4,70.3,75.3,1.3,-1.5
30,Alabama,Fayette,68.8,79.3,69.5,78.8,69.7,77.8,70.7,77.2,71.3,77.2,70.4,75.8,1.7,-3.5
31,Alabama,Franklin,68.4,77.0,68.8,77.0,68.8,77.5,70.0,76.9,71.1,76.1,70.7,74.9,2.3,-2.1
32,Alabama,Geneva,69.2,77.3,69.5,77.7,69.8,77.9,71.2,78.1,71.8,77.9,72.2,78.1,3.0,0.7
33,Alabama,Greene,67.3,75.7,66.8,76.0,67.0,75.3,67.1,75.7,68.0,77.1,70.0,77.9,2.7,2.1
34,Alabama,Hale,68.9,76.4,67.7,75.6,66.0,75.0,68.4,74.5,68.7,74.9,68.1,76.8,-0.9,0.4
35,Alabama,Henry,67.8,76.1,68.8,77.1,69.7,77.4,70.5,76.9,70.8,77.1,71.9,78.5,4.1,2.4
