County,county_fips,state_name,Location,lat,lng,population
Ada,16001,Idaho,"Ada, Idaho",43.4511,-116.2412,456849
Allegheny,42003,Pennsylvania,"Allegheny, Pennsylvania",40.4688,-79.9812,1221744
Allen,18003,Indiana,"Allen, Indiana",41.0909,-85.0666,372575
Anchorage,02020,Alaska,"Anchorage, Alaska",61.1508,-149.1091,293531
Anne Arundel,24003,Maryland,"Anne Arundel, Maryland",39.0065,-76.6051,571275
Anoka,27003,Minnesota,"Anoka, Minnesota",45.2733,-93.2465,350253
Arapahoe,08005,Colorado,"Arapahoe, Colorado",39.6498,-104.3392,644560
Baltimore,24005,Maryland,"Baltimore, Maryland",39.4627,-76.6393,828018
Benton,05007,Arkansas,"Benton, Arkansas",36.3387,-94.2561,265759
Bergen,34003,New Jersey,"Bergen, New Jersey",40.9596,-74.0742,930390
Berkeley,54003,West Virginia,"Berkeley, West Virginia",39.4641,-78.0275,115329
Bernalillo,35001,New Mexico,"Bernalillo, New Mexico",35.0513,-106.6701,677858
Bexar,48029,Texas,"Bexar, Texas",29.4489,-98.52,1952843
Bonneville,16019,Idaho,"Bonneville, Idaho",43.3877,-111.6148,114392
Boone,21015,Kentucky,"Boone, Kentucky",38.9699,-84.7278,130820
Broward,12011,Florida,"Broward, Florida",26.1523,-80.4871,1926205
Brown,46013,South Dakota,"Brown, South Dakota",45.5898,-98.3516,38915
Brown,55009,Wisconsin,"Brown, Wisconsin",44.4529,-88.0037,261368
Bucks,42017,Pennsylvania,"Bucks, Pennsylvania",40.337,-75.1069,626806
Burleigh,38015,North Dakota,"Burleigh, North Dakota",46.9775,-100.4687,94793
Cabell,54011,West Virginia,"Cabell, West Virginia",38.4203,-82.2417,94339
Campbell,56005,Wyoming,"Campbell, Wyoming",44.2482,-105.5482,47409
Canadian,40017,Oklahoma,"Canadian, Oklahoma",35.5424,-97.9824,140455
Canyon,16027,Idaho,"Canyon, Idaho",43.6251,-116.7093,217633
Carson City,32510,Nevada,"Carson City, Nevada",39.1512,-119.7474,54773
Cass,38017,North Dakota,"Cass, North Dakota",46.933,-97.248,176975
Charleston,45019,South Carolina,"Charleston, South Carolina",32.8346,-79.9531,401165
Chittenden,50007,Vermont,"Chittenden, Vermont",44.461,-73.0809,162646
Clackamas,41005,Oregon,"Clackamas, Oregon",45.188,-122.2209,410463
Clark,32003,Nevada,"Clark, Nevada",36.2152,-115.0135,2182004
Cleveland,40027,Oklahoma,"Cleveland, Oklahoma",35.2031,-97.3265,279274
Cobb,13067,Georgia,"Cobb, Georgia",33.9415,-84.5767,751218
Cook,17031,Illinois,"Cook, Illinois",41.8401,-87.8168,5198275
Cumberland,23005,Maine,"Cumberland, Maine",43.8464,-70.3988,292307
Cuyahoga,39035,Ohio,"Cuyahoga, Ohio",41.4245,-81.6586,1247451
Dakota,27037,Minnesota,"Dakota, Minnesota",44.6719,-93.0654,421453
Dallas,48113,Texas,"Dallas, Texas",32.7666,-96.7779,2606868
Dane,55025,Wisconsin,"Dane, Wisconsin",43.0673,-89.4181,536078
Davidson,47037,Tennessee,"Davidson, Tennessee",36.1695,-86.7848,687488
Davis,49011,Utah,"Davis, Utah",40.99,-112.1115,345767
DeKalb,13089,Georgia,"DeKalb, Georgia",33.7715,-84.2264,749323
Denver,08031,Colorado,"Denver, Colorado",39.7621,-104.8759,705576
DeSoto,28033,Mississippi,"DeSoto, Mississippi",34.8754,-89.9918,178975
District of Columbia,11001,District of Columbia,"District of Columbia, District of Columbia",38.9047,-77.0163,692683
Doña Ana,35013,New Mexico,"Doña Ana, New Mexico",32.3526,-106.8328,216069
Douglas,31055,Nebraska,"Douglas, Nebraska",41.2953,-96.1543,560617
DuPage,17043,Illinois,"DuPage, Illinois",41.852,-88.0856,929060
East Baton Rouge,22033,Louisiana,"East Baton Rouge, Louisiana",30.5383,-91.0956,443763
El Paso,08041,Colorado,"El Paso, Colorado",38.8321,-104.5255,698974
Essex,25009,Massachusetts,"Essex, Massachusetts",42.6731,-70.952,783676
Fairbanks North Star,02090,Alaska,"Fairbanks North Star, Alaska",64.8078,-146.5654,99072
Fairfax,51059,Virginia,"Fairfax, Virginia",38.8368,-77.277,1145862
Fairfield,09001,Connecticut,"Fairfield, Connecticut",41.2708,-73.3894,943926
