county,state_name,Location,lat,lng,population
Los Angeles,California,"Los Angeles, California",34.3207,-118.2248,10081570
Cook,Illinois,"Cook, Illinois",41.8401,-87.8168,5198275
Harris,Texas,"Harris, Texas",29.8577,-95.3936,4646630
Maricopa,Arizona,"Maricopa, Arizona",33.349,-112.4915,4328810
San Diego,California,"San Diego, California",33.0341,-116.7353,3316073
Orange,California,"Orange, California",33.703,-117.7611,3168044
Miami-Dade,Florida,"Miami-Dade, Florida",25.615,-80.5623,2699428
Dallas,Texas,"Dallas, Texas",32.7666,-96.7779,2606868
Kings,New York,"Kings, New York",40.6395,-73.9385,2589974
Riverside,California,"Riverside, California",33.7437,-115.9938,2411439
Queens,New York,"Queens, New York",40.7023,-73.8203,2287388
King,Washington,"King, Washington",47.4902,-121.8052,2195502
Clark,Nevada,"Clark, Nevada",36.2152,-115.0135,2182004
San Bernardino,California,"San Bernardino, California",34.8414,-116.1784,2149031
Tarrant,Texas,"Tarrant, Texas",32.7716,-97.2912,2049770
Bexar,Texas,"Bexar, Texas",29.4489,-98.52,1952843
Santa Clara,California,"Santa Clara, California",37.2318,-121.6951,1927470
Broward,Florida,"Broward, Florida",26.1523,-80.4871,1926205
Wayne,Michigan,"Wayne, Michigan",42.2819,-83.2821,1757299
Alameda,California,"Alameda, California",37.6469,-121.8889,1656754
New York,New York,"New York, New York",40.7781,-73.9675,1631993
Middlesex,Massachusetts,"Middlesex, Massachusetts",42.4856,-71.3918,1600842
Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",40.0077,-75.1339,1579075
Sacramento,California,"Sacramento, California",38.4493,-121.3443,1524553
Suffolk,New York,"Suffolk, New York",40.8686,-72.8448,1483832
Palm Beach,Florida,"Palm Beach, Florida",26.6476,-80.4655,1465027
Bronx,New York,"Bronx, New York",40.85,-73.866,1435068
Hillsborough,Florida,"Hillsborough, Florida",27.9291,-82.3092,1422278
Nassau,New York,"Nassau, New York",40.7328,-73.5864,1356509
Orange,Florida,"Orange, Florida",28.5144,-81.3235,1349746
Franklin,Ohio,"Franklin, Ohio",39.9695,-83.0093,1290360
Oakland,Michigan,"Oakland, Michigan",42.6604,-83.3858,1253185
Cuyahoga,Ohio,"Cuyahoga, Ohio",41.4245,-81.6586,1247451
Hennepin,Minnesota,"Hennepin, Minnesota",45.0046,-93.4769,1245837
Travis,Texas,"Travis, Texas",30.3347,-97.782,1226805
Allegheny,Pennsylvania,"Allegheny, Pennsylvania",40.4688,-79.9812,1221744
Fairfax,Virginia,"Fairfax, Virginia",38.8368,-77.277,1145862
Contra Costa,California,"Contra Costa, California",37.9191,-121.9278,1142251
Salt Lake,Utah,"Salt Lake, Utah",40.6673,-111.9236,1133646
Mecklenburg,North Carolina,"Mecklenburg, North Carolina",35.2467,-80.8328,1074475
Wake,North Carolina,"Wake, North Carolina",35.7903,-78.6503,1069079
Montgomery,Maryland,"Montgomery, Maryland",39.1363,-77.2042,1043530
Fulton,Georgia,"Fulton, Georgia",33.7903,-84.467,1036200
Pima,Arizona,"Pima, Arizona",32.0974,-111.7899,1027207
St. Louis,Missouri,"St. Louis, Missouri",38.6405,-90.4433,996919
Honolulu,Hawaii,"Honolulu, Hawaii",21.5008,-158.1053,984821
Fresno,California,"Fresno, California",36.7582,-119.6493,984521
Collin,Texas,"Collin, Texas",33.1879,-96.5724,973977
Westchester,New York,"Westchester, New York",41.1623,-73.7561,968890
Pinellas,Florida,"Pinellas, Florida",27.9196,-82.7256,964666
Marion,Indiana,"Marion, Indiana",39.7817,-86.1385,951869
Milwaukee,Wisconsin,"Milwaukee, Wisconsin",43.0072,-87.9668,951226
Fairfield,Connecticut,"Fairfield, Connecticut",41.2708,-73.3894,943926
